,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,25468,106030,Private room,,BEACON HILL-CYRVILLE,8,4.5,2,1.0,,29.0,2.0,45.450053,-75.589091,2016-05-16 23:47:32.757633
1,34220,147438,Private room,,CAPITAL,0,,2,1.0,1.0,161.0,7.0,45.409237,-75.678999,2016-05-16 23:14:17.559013
2,36642,157787,Private room,,KITCHISSIPPI,60,4.5,2,1.0,,56.0,1.0,45.401591,-75.746794,2016-05-16 23:12:51.307224
3,42100,184023,Private room,,GLOUCESTER-SOUTH NEPEAN,0,,1,1.0,2.0,31.0,1.0,45.320071,-75.60708,2016-05-16 22:58:04.288813
4,59258,284351,Entire home/apt,,BAY,1,,4,1.0,1.0,128.0,3.0,45.358996,-75.803144,2016-05-17 00:11:06.877538
5,60281,285215,Entire home/apt,,RIDEAU-VANIER,8,5.0,2,1.0,1.0,79.0,1.0,45.43135,-75.664312,2016-05-16 23:53:37.349310
6,61585,298219,Private room,,SOMERSET,0,,1,1.0,1.0,70.0,1.0,45.410572,-75.698833,2016-05-16 23:19:52.479164
7,104288,451740,Entire home/apt,,RIDEAU-VANIER,27,4.5,6,3.0,2.0,96.0,2.0,45.422346,-75.670573,2016-05-16 23:58:17.002897
8,134033,657917,Private room,,KITCHISSIPPI,52,5.0,2,1.0,,36.0,2.0,45.4074,-75.729827,2016-05-16 23:18:27.396976
9,152887,735312,Private room,,BAY,58,4.5,4,1.0,1.0,56.0,1.0,45.363706,-75.796863,2016-05-16 22:33:44.854444
10,158739,735312,Private room,,BAY,23,5.0,1,1.0,2.0,36.0,1.0,45.365053,-75.797575,2016-05-16 22:30:53.902398
11,184551,885301,Private room,,CUMBERLAND,0,,2,1.0,1.0,39.0,5.0,45.514999,-75.373394,2016-05-16 22:35:12.467652
12,197284,961289,Private room,,COLLEGE,0,,2,1.0,,60.0,1.0,45.362576,-75.745962,2016-05-16 23:58:34.461051
13,231073,646501,Private room,,INNES,3,4.5,2,1.0,1.0,79.0,1.0,45.447913,-75.531295,2016-05-16 23:01:54.376570
14,233886,76760,Private room,,ORLEANS,0,,4,1.0,2.0,82.0,1.0,45.484423,-75.529467,2016-05-17 00:20:40.067087
15,261065,1369632,Entire home/apt,,KITCHISSIPPI,28,5.0,2,1.0,1.0,119.0,2.0,45.389719,-75.754959,2016-05-16 22:39:29.252545
16,284381,1098342,Entire home/apt,,BEACON HILL-CYRVILLE,1,,2,2.0,1.0,79.0,2.0,45.439792,-75.593334,2016-05-16 23:58:39.306801
17,284916,1483261,Private room,,SOMERSET,65,5.0,2,1.0,1.0,44.0,1.0,45.406863,-75.702366,2016-05-16 23:54:23.220595
18,285156,1485665,Private room,,KNOXDALE-MERIVALE,2,,2,1.0,,47.0,1.0,45.337037,-75.747237,2016-05-17 00:14:14.871383
19,290033,415201,Entire home/apt,,RIDEAU-GOULBOURN,4,5.0,6,3.0,3.0,96.0,2.0,45.167615,-75.711995,2016-05-16 22:48:51.595388
20,365499,1356353,Private room,,CAPITAL,32,4.5,1,1.0,1.0,44.0,1.0,45.40642,-75.691801,2016-05-16 22:39:51.956839
21,397365,1985462,Entire home/apt,,CAPITAL,15,5.0,4,2.0,1.0,119.0,3.0,45.407435,-75.691164,2016-05-17 00:03:46.934401
22,413827,2058676,Private room,,GLOUCESTER-SOUTH NEPEAN,30,4.5,10,1.0,,47.0,1.0,45.269003,-75.724141,2016-05-16 23:45:11.114719
23,438859,2058676,Entire home/apt,,KNOXDALE-MERIVALE,25,4.5,6,3.0,1.0,40.0,1.0,45.335723,-75.740457,2016-05-16 22:33:47.621437
24,450915,1767768,Private room,,GLOUCESTER-SOUTHGATE,1,,2,1.0,,47.0,1.0,45.367169,-75.616027,2016-05-16 23:08:19.139009
25,460825,2290744,Private room,,BEACON HILL-CYRVILLE,0,,2,1.0,,72.0,2.0,45.451386,-75.594309,2016-05-16 23:45:07.322738
26,491390,2428786,Entire home/apt,,SOMERSET,67,4.5,3,1.0,1.0,108.0,2.0,45.413559,-75.685889,2016-05-16 22:38:21.722513
27,495545,2447573,Private room,,SOMERSET,132,4.5,2,1.0,1.0,31.0,1.0,45.408499,-75.697879,2016-05-16 23:19:36.303587
28,503247,735312,Private room,,BAY,19,4.5,2,1.0,1.0,47.0,1.0,45.365794,-75.796784,2016-05-16 23:28:35.660809
29,509669,2430974,Private room,,SOMERSET,0,,2,1.0,3.0,39.0,2.0,45.418827,-75.683809,2016-05-16 22:56:49.380676
30,528643,2596680,Private room,,RIDEAU-VANIER,0,,2,1.0,1.0,52.0,1.0,45.420886,-75.68392,2016-05-16 23:29:27.565216
31,559039,1485665,Private room,,KNOXDALE-MERIVALE,2,,2,1.0,,44.0,1.0,45.335967,-75.745918,2016-05-16 23:09:12.002639
32,579491,2850228,Private room,,BEACON HILL-CYRVILLE,0,,2,1.0,,100.0,1.0,45.439008,-75.59681,2016-05-16 22:42:27.594475
33,619393,3068978,Entire home/apt,,RIDEAU-VANIER,8,4.5,4,2.0,2.0,175.0,3.0,45.42831,-75.693787,2016-05-16 23:48:16.753446
34,640987,3201295,Entire home/apt,,RIDEAU-VANIER,11,4.5,2,0.0,1.0,49.0,7.0,45.428404,-75.686378,2016-05-16 23:11:07.292239
35,656783,3308698,Private room,,RIDEAU-ROCKCLIFFE,16,4.0,2,1.0,,47.0,1.0,45.448723,-75.630522,2016-05-16 23:35:16.358702
36,665677,3364703,Private room,,KITCHISSIPPI,0,,2,1.0,,79.0,1.0,45.393225,-75.755039,2016-05-17 00:13:56.504177
37,674799,2058676,Private room,,GLOUCESTER-SOUTH NEPEAN,7,4.0,7,1.0,,36.0,1.0,45.267246,-75.722692,2016-05-17 00:11:40.845882
38,678641,3453855,Private room,,SOMERSET,76,5.0,2,1.0,2.0,60.0,2.0,45.408203,-75.699077,2016-05-16 23:32:44.616849
39,682632,3201295,Entire home/apt,,KITCHISSIPPI,2,,4,2.0,1.0,49.0,5.0,45.402687,-75.730231,2016-05-17 00:10:42.141875
40,682634,3201295,Entire home/apt,,KITCHISSIPPI,2,,4,2.0,,64.0,5.0,45.400966,-75.732031,2016-05-16 22:45:04.340552
41,695301,3558783,Entire home/apt,,RIDEAU-VANIER,8,5.0,8,3.0,1.0,211.0,3.0,45.430004,-75.686262,2016-05-17 00:09:59.942254
42,696374,921101,Private room,,COLLEGE,22,5.0,2,1.0,1.0,31.0,1.0,45.317415,-75.838593,2016-05-16 22:53:39.532687
43,706426,621303,Private room,,RIDEAU-ROCKCLIFFE,81,4.0,2,1.0,2.0,38.0,1.0,45.437673,-75.638095,2016-05-16 23:34:40.535295
44,707241,2447573,Private room,,SOMERSET,63,4.5,2,1.0,,33.0,1.0,45.410401,-75.69654,2016-05-17 00:14:37.091130
45,719355,3711706,Private room,,RIDEAU-VANIER,1,,1,1.0,1.0,68.0,3.0,45.434006,-75.690957,2016-05-16 23:03:42.486680
46,737145,3848719,Entire home/apt,,RIDEAU-ROCKCLIFFE,77,5.0,2,1.0,1.0,90.0,2.0,45.443459,-75.646679,2016-05-16 23:24:48.218781
47,748336,3930367,Entire home/apt,,SOMERSET,18,5.0,4,3.0,2.0,119.0,3.0,45.411642,-75.707105,2016-05-16 22:52:11.998489
48,764035,4027790,Entire home/apt,,RIDEAU-VANIER,35,5.0,6,2.0,2.0,140.0,5.0,45.429112,-75.686056,2016-05-16 23:13:57.531298
49,767960,4050933,Entire home/apt,,RIDEAU-VANIER,64,4.5,4,1.0,1.0,67.0,,45.431254,-75.678729,2016-05-16 23:00:36.630554
50,787770,4050933,Entire home/apt,,RIDEAU-VANIER,56,4.5,8,3.0,,140.0,,45.431059,-75.677435,2016-05-16 23:25:59.880736
51,793593,4180945,Entire home/apt,,RIDEAU-VANIER,64,4.5,6,3.0,1.0,147.0,2.0,45.432176,-75.691758,2016-05-16 23:21:20.836679
52,806204,1716310,Private room,,RIVER,63,5.0,2,1.0,,60.0,1.0,45.38542,-75.718721,2016-05-16 23:45:59.988673
53,814427,4279463,Entire home/apt,,CAPITAL,35,5.0,3,1.0,1.0,100.0,3.0,45.403169,-75.702606,2016-05-16 22:43:25.444532
54,826137,3975481,Private room,,CAPITAL,186,5.0,2,1.0,2.0,60.0,1.0,45.401665,-75.687692,2016-05-16 23:14:38.140831
55,839140,4383680,Private room,,COLLEGE,13,5.0,1,1.0,,44.0,2.0,45.315577,-75.83275,2016-05-16 23:04:44.166563
56,858871,4495640,Entire home/apt,,CAPITAL,61,5.0,4,2.0,,127.0,6.0,45.406595,-75.680153,2016-05-16 23:59:25.789238
57,862807,4180945,Entire home/apt,,RIDEAU-VANIER,23,4.0,4,2.0,,119.0,2.0,45.433483,-75.694381,2016-05-16 23:08:36.704636
58,866003,621303,Private room,,RIDEAU-ROCKCLIFFE,29,4.0,2,1.0,2.0,27.0,1.0,45.43785,-75.637841,2016-05-16 23:23:48.322845
59,875133,4606697,Private room,,CAPITAL,63,5.0,2,1.0,,60.0,1.0,45.404878,-75.693254,2016-05-16 22:54:59.448513
60,876700,1768444,Entire home/apt,,CAPITAL,35,5.0,3,1.0,1.0,72.0,3.0,45.402706,-75.690669,2016-05-16 23:12:42.108628
61,878874,4050933,Entire home/apt,,RIDEAU-VANIER,74,4.5,4,1.0,1.0,57.0,,45.432261,-75.679367,2016-05-16 23:04:49.714977
62,885332,4670504,Entire home/apt,,BAY,13,4.5,4,1.0,1.0,32.0,7.0,45.357631,-75.792888,2016-05-16 22:57:31.592473
63,904392,4050933,Entire home/apt,,RIDEAU-VANIER,92,4.5,9,3.0,2.0,145.0,,45.432793,-75.678171,2016-05-17 00:02:09.067548
64,906839,4855102,Private room,,RIVER,36,5.0,2,1.0,1.0,47.0,1.0,45.370704,-75.738972,2016-05-16 22:51:40.100618
65,907075,4857218,Entire home/apt,,BAY,1,,2,1.0,1.0,103.0,2.0,45.373868,-75.762604,2016-05-16 22:30:39.026712
66,927843,4050933,Entire home/apt,,RIDEAU-VANIER,22,4.5,6,2.0,2.0,130.0,,45.432168,-75.679252,2016-05-16 23:46:38.558891
67,943979,5108859,Entire home/apt,,SOMERSET,155,4.5,4,0.0,1.0,75.0,1.0,45.412264,-75.696493,2016-05-16 22:41:35.486617
68,950604,3730302,Private room,,BARRHAVEN,0,,2,1.0,2.0,56.0,1.0,45.265306,-75.75384,2016-05-16 23:22:39.506651
69,956589,4705150,Entire home/apt,,RIDEAU-VANIER,2,,5,2.0,,160.0,2.0,45.433411,-75.677826,2016-05-17 00:01:22.190598
70,962507,5243965,Private room,,COLLEGE,0,,1,1.0,,60.0,1.0,45.309963,-75.826274,2016-05-16 22:37:38.903012
71,987450,5108859,Entire home/apt,,SOMERSET,103,5.0,2,0.0,1.0,71.0,1.0,45.411606,-75.696285,2016-05-16 22:55:54.588485
72,1004410,5215448,Entire home/apt,,SOMERSET,3,3.0,2,1.0,1.0,60.0,2.0,45.41714,-75.695021,2016-05-16 23:52:16.697463
73,1013160,5573521,Private room,,RIDEAU-VANIER,2,,2,1.0,1.0,75.0,1.0,45.430953,-75.667445,2016-05-17 00:02:41.978611
74,1026310,5649683,Entire home/apt,,RIDEAU-ROCKCLIFFE,0,,10,4.0,,398.0,2.0,45.455781,-75.656527,2016-05-17 00:16:43.872872
75,1038139,3260432,Private room,,KANATA SOUTH,56,5.0,2,1.0,,40.0,1.0,45.316416,-75.88963,2016-05-16 23:49:48.906709
76,1038420,5716841,Private room,,SOMERSET,67,5.0,2,1.0,,63.0,1.0,45.411953,-75.710275,2016-05-17 00:08:16.102433
77,1045830,5757357,Private room,,RIDEAU-ROCKCLIFFE,127,4.5,2,1.0,,32.0,2.0,45.423354,-75.660249,2016-05-16 23:36:31.832667
78,1083982,5960050,Private room,,WEST CARLETON-MARCH,0,,2,1.0,1.0,54.0,1.0,45.464299,-76.146421,2016-05-16 22:56:05.037607
79,1086402,3201295,Entire home/apt,,RIVER,2,,4,2.0,,55.0,7.0,45.365939,-75.735627,2016-05-16 23:41:13.661018
80,1097429,2282184,Private room,,SOMERSET,112,5.0,4,1.0,1.0,63.0,1.0,45.409529,-75.701384,2016-05-16 23:37:34.578716
81,1112263,6104238,Private room,,CAPITAL,139,4.5,2,1.0,1.0,44.0,2.0,45.40367,-75.702009,2016-05-16 22:46:31.876608
82,1113071,6108821,Entire home/apt,,KITCHISSIPPI,11,5.0,6,4.0,,158.0,2.0,45.407029,-75.727597,2016-05-16 22:32:33.402891
83,1119548,6143284,Private room,,ORLEANS,79,5.0,2,1.0,1.0,32.0,1.0,45.483817,-75.525365,2016-05-17 00:02:17.734830
84,1121343,11944806,Entire home/apt,,RIDEAU-VANIER,15,4.5,8,3.0,2.0,145.0,,45.436318,-75.666162,2016-05-17 00:03:53.590605
85,1128869,4301925,Entire home/apt,,SOMERSET,281,5.0,2,1.0,1.0,96.0,1.0,45.412702,-75.711506,2016-05-16 23:12:22.060697
